Scryfall ID,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,keywords,legalities,games,reserved,uri,is_permanent,is_dual_face,is_historic,is_legendary,is_creature,front_types,front_subtypes,back_types,back_subtypes,produced_mana,edhrec_rank,penny_rank,back_oracle_text,back_mana_cost,back_colors,back_power,back_toughness
c349f19b-1f9e-4541-943a-a6933d01ad73,{B},1.0,Sorcery,A person outside the game looks at target opponent's hand and chooses a nonland card from it. That player discards that card.,,,['B'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/c/3/c349f19b-1f9e-4541-943a-a6933d01ad73.jpg?1562936270,False,False,False,False,False,['Sorcery'],[],[],[],,,,,,,,
6964c3d5-4bb7-46b1-a057-878af73f2e5f,{4}{R}{R},6.0,Sorcery,Roll a six-sided die. Create a number of 1/1 red Goblin creature tokens equal to the result.,,,['R'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/6/9/6964c3d5-4bb7-46b1-a057-878af73f2e5f.jpg?1562917032,False,False,False,False,False,['Sorcery'],[],[],[],,,,,,,,
4afb8115-3a47-4d7e-a3ed-b2e81ca27255,{3}{R}{R},5.0,Sorcery,"Players play a Magic subgame, starting at 1 life and using their libraries as their decks. For the rest of the main game, if a source would deal damage to a player who didn't win the subgame, it deals double that damage to that player instead.",,,['R'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/4/a/4afb8115-3a47-4d7e-a3ed-b2e81ca27255.jpg?1562910709,False,False,False,False,False,['Sorcery'],[],[],[],,,,,,,,
4f49ff5d-292d-432a-8548-aed8cb0d98ea,{4}{R},5.0,Host Creature — Dinosaur,"When this creature enters, roll a six-sided die. This creature deals damage equal to the result to target creature an opponent controls.",2,1,['R'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/4/f/4f49ff5d-292d-432a-8548-aed8cb0d98ea.jpg?1562911611,False,False,False,False,True,"['Host', 'Creature']",['Dinosaur'],[],[],,,,,,,,
2d33c84b-3807-430e-8315-5de2d7f6fa32,{4}{R},5.0,Creature — Elemental,"Frenzy 2 (Whenever this creature attacks and isn't blocked, it gets +2/+0 until end of turn.)
Garbage Elemental can't be blocked by wordy creatures. (A creature is wordy if it has four or more lines of rules text.)",2,4,['R'],['Frenzy'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/2/d/2d33c84b-3807-430e-8315-5de2d7f6fa32.jpg?1562904504,False,False,False,False,True,['Creature'],['Elemental'],[],[],,,,,,,,
e72e613e-817c-42c4-8124-407a85f633b3,{3}{R},4.0,Creature — Goblin Warrior,"As Hammer Jammer enters, roll a six-sided die. Hammer Jammer enters with a number of +1/+1 counters on it equal to the result.
Whenever you roll a die, remove all +1/+1 counters from Hammer Jammer, then put a number of +1/+1 counters on it equal to the result.",0,0,['R'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/e/7/e72e613e-817c-42c4-8124-407a85f633b3.jpg?1562943762,False,False,False,False,True,['Creature'],"['Goblin', 'Warrior']",[],[],,,,,,,,
f591d888-b9c4-4c42-a9ef-abf6c06b10c8,{3}{R}{R},5.0,Enchantment,"Whenever you cast a spell with a Goblin Explosioneers watermark, Hammerfest Boomtacular deals 2 damage to any target.",,,['R'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/f/5/f591d888-b9c4-4c42-a9ef-abf6c06b10c8.jpg?1562946795,False,False,False,False,False,['Enchantment'],[],[],[],,,,,,,,
c1131b87-8e59-47e7-a760-848a455c82b0,{5}{R},6.0,Creature — Elemental Horror,"When It That Gets Left Hanging enters, ask a person outside the game to high-five you. If they won't, It That Gets Left Hanging gains haste until end of turn.",5,4,['R'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/c/1/c1131b87-8e59-47e7-a760-848a455c82b0.jpg?1562935830,False,False,False,False,True,['Creature'],"['Elemental', 'Horror']",[],[],,,,,,,,
597f3203-e79c-47af-8c3d-b37c0537de34,{4}{R},5.0,Creature — Goblin Berserker,"Haste
You can attack with Party Crasher once each combat during each opponent's turn.",3,3,['R'],['Haste'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/5/9/597f3203-e79c-47af-8c3d-b37c0537de34.jpg?1562913677,False,False,False,False,True,['Creature'],"['Goblin', 'Berserker']",[],[],,,,,,,,
e35c6dd7-84eb-42ff-a950-705bc0d1811e,{3}{R}{R},5.0,Creature — Goblin Mutant,"Triple strike (This creature deals first-strike, regular, and last-strike combat damage.)",3,3,['R'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/e/3/e35c6dd7-84eb-42ff-a950-705bc0d1811e.jpg?1562942976,False,False,False,False,True,['Creature'],"['Goblin', 'Mutant']",[],[],,,,,,,,
4c4fcdd5-8f7b-48b1-8841-afc3f8f35853,{R},1.0,Creature — Goblin Rigger,"When Wrench-Rigger enters, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",1,1,['R'],['Assemble'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/4/c/4c4fcdd5-8f7b-48b1-8841-afc3f8f35853.jpg?1562911017,False,False,False,False,True,['Creature'],"['Goblin', 'Rigger']",[],[],,,,,,,,
16c5fb06-7371-421e-bab6-e0a5c3123948,{3}{G},4.0,Instant,Destroy target artifact or enchantment. Assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.),,,['G'],['Assemble'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/1/6/16c5fb06-7371-421e-bab6-e0a5c3123948.jpg?1562899778,False,False,False,False,False,['Instant'],[],[],[],,,,,,,,
c39f8801-4dff-4192-a783-2b5dfda24784,{1}{G},2.0,Creature — Goblin Warrior,"{3}{G}: Roll a six-sided die. Ground Pounder gets +X/+X until end of turn, where X is the result.
Whenever you roll a 5 or higher on a die, Ground Pounder gains trample until end of turn.",2,2,['G'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/c/3/c39f8801-4dff-4192-a783-2b5dfda24784.jpg?1562936336,False,False,False,False,True,['Creature'],"['Goblin', 'Warrior']",[],[],,,,,,,,
6b199304-1b6e-417f-9855-82c38454dff9,{3}{G},4.0,Creature — Goblin Rigger,"When Joyride Rigger enters, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",3,3,['G'],['Assemble'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/6/b/6b199304-1b6e-417f-9855-82c38454dff9.jpg?1562917397,False,False,False,False,True,['Creature'],"['Goblin', 'Rigger']",[],[],,,,,,,,
a93e96d8-2c6d-43c6-b9c9-512fdb98a30d,{4}{G},5.0,Host Creature — Kangaroo,"When this creature enters, roll a six-sided die. Put a number of +1/+1 counters on this creature equal to the result.",1,1,['G'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/a/9/a93e96d8-2c6d-43c6-b9c9-512fdb98a30d.jpg?1562930678,False,False,False,False,True,"['Host', 'Creature']",['Kangaroo'],[],[],,,,,,,,
88375ad9-50cb-4529-982b-82f9653c69f6,{1}{G},2.0,Sorcery,"Search your library for a basic land card and reveal it. If there's a tree in its art, put it onto the battlefield tapped. Otherwise, put it into your hand. Then shuffle.",,,['G'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/8/8/88375ad9-50cb-4529-982b-82f9653c69f6.jpg?1623308311,False,False,False,False,False,['Sorcery'],[],[],[],,,,,,,,
